Playlist Title,Video Title,Date Added,Duration,Views,Likes,Dislikes,Video Key
ISL Dictionary - Academic terms,3G,2019-03-05T05:33:34Z,PT53S,2069,67,0,SXreCRUkvNU
ISL Dictionary - Academic terms,4G,2019-03-05T05:40:40Z,PT15S,1205,42,0,CqxA97nWtYQ
ISL Dictionary - Academic terms,a,2019-03-05T05:56:45Z,PT53S,477,13,0,HV6UczSUSUo
ISL Dictionary - Academic terms,a lot,2019-03-05T05:57:11Z,PT32S,982,46,0,dQwIGx5TUzs
ISL Dictionary - Academic terms,able,2019-03-05T06:04:09Z,PT29S,596,20,0,jy1qVYd2n8I
ISL Dictionary - Academic terms,above,2019-03-05T06:10:37Z,PT35S,315,9,0,s7MiLz5h-uE
ISL Dictionary - Academic terms,accessibility,2019-03-05T06:21:42Z,PT47S,849,39,1,JJBuJF_PP1c
ISL Dictionary - Academic terms,accessible,2019-04-30T09:39:16Z,PT28S,1307,11,19,cO4qyZtvFWs
ISL Dictionary - Academic terms,accident,2019-04-30T09:39:25Z,PT18S,1454,21,15,lwX7ijChOGs
ISL Dictionary - Academic terms,accompany,2019-04-30T09:39:36Z,PT30S,365,11,0,pQD55SMVqjQ
ISL Dictionary - Academic terms,accounts,2019-04-30T09:39:59Z,PT21S,543,19,0,Wb3cBgVoeCE
ISL Dictionary - Academic terms,accuse,2019-04-30T09:40:13Z,PT20S,521,18,0,IhSpNu3Y0jk
ISL Dictionary - Academic terms,ache,2019-04-30T09:40:25Z,PT22S,902,33,0,1Nx5uN1Gph0
ISL Dictionary - Academic terms,action,2019-04-30T09:40:34Z,PT20S,572,25,0,ADGho5mLPZc
ISL Dictionary - Academic terms,add,2019-04-30T10:32:07Z,PT45S,484,20,0,-TzYTs9YLy0
ISL Dictionary - Academic terms,address,2019-04-30T10:38:02Z,PT4S,355,8,0,gXopAHsCnnw
ISL Dictionary - Academic terms,administer,2019-04-30T10:38:05Z,PT4S,245,7,0,F312GtzP7pA
ISL Dictionary - Academic terms,admire,2019-04-30T10:46:09Z,PT7S,403,13,0,AgFMp1xUOM4
ISL Dictionary - Academic terms,adopt,2019-04-30T10:46:23Z,PT6S,592,16,0,qkbKyOnkKrQ
ISL Dictionary - Academic terms,adult,2019-04-30T10:48:27Z,PT6S,560,12,0,o6h9m8HhMDk
ISL Dictionary - Academic terms,advance,2019-04-30T11:58:22Z,PT6S,345,7,1,At0PWlWiUoI
ISL Dictionary - Academic terms,advise,2019-04-30T11:58:29Z,PT37S,439,14,1,YU5bTzbvN-k
ISL Dictionary - Academic terms,affect,2019-04-30T11:58:33Z,PT35S,458,18,0,C5xaHZPbsis
ISL Dictionary - Academic terms,after,2019-04-30T11:58:39Z,PT12S,664,27,0,IBtSpIh5Rok
ISL Dictionary - Academic terms,again,2019-04-30T11:58:43Z,PT17S,308,10,0,hu7-fBfxxrE
ISL Dictionary - Academic terms,age,2019-04-30T11:58:48Z,PT1M6S,968,49,0,_8445px3fhg
ISL Dictionary - Academic terms,agra,2019-05-02T05:33:36Z,PT4S,816,30,4,rzJw4Xwa9DM
ISL Dictionary - Academic terms,agree,2019-05-02T05:33:47Z,PT4S,473,13,0,PM3IyBjQXbY
ISL Dictionary - Academic terms,agreement,2019-05-02T06:08:00Z,PT1M14S,2057,105,0,1W-kzgB9VZA
ISL Dictionary - Academic terms,air,2019-05-02T06:21:53Z,PT27S,376,8,0,AZRBRDwkIp8
ISL Dictionary - Academic terms,airport,2019-05-02T09:31:45Z,PT22S,348,7,0,Qtyeavci6rE
ISL Dictionary - Academic terms,akshay kumar,2019-05-02T09:31:56Z,PT36S,1201,45,0,vq3HgCfgCkA
ISL Dictionary - Academic terms,alike,2019-05-02T09:32:05Z,PT46S,299,7,0,GvBdc8ddzos
ISL Dictionary - Academic terms,alive,2019-05-02T09:35:01Z,PT21S,267,11,1,5YOESz_yj_M
ISL Dictionary - Academic terms,all,2019-05-02T09:35:08Z,PT33S,309,7,0,oCvEM1AVv-0
ISL Dictionary - Academic terms,allergy,2019-05-02T09:35:19Z,PT46S,388,16,0,ljYmHct0iEQ
ISL Dictionary - Academic terms,allocate,2019-05-02T09:35:26Z,PT17S,301,13,0,gK4As5wxTlI
ISL Dictionary - Academic terms,allow,2019-05-02T09:35:34Z,PT32S,290,7,0,OSULdhj5b0I
ISL Dictionary - Academic terms,almost,2019-05-02T09:35:44Z,PT26S,522,12,1,XveNPRF7sXQ
ISL Dictionary - Academic terms,alone,2019-05-02T09:35:51Z,PT1M19S,2575,109,1,aqBMgqdcSUo
ISL Dictionary - Academic terms,already,2019-05-02T09:36:04Z,PT1M3S,326,9,0,CyX6Z6Qssk0
ISL Dictionary - Academic terms,always,2019-05-02T09:36:20Z,PT37S,821,36,0,nq6feASoEE8
ISL Dictionary - Academic terms,amazed,2019-05-02T09:40:56Z,PT36S,1478,46,1,ym0uNmSQ21Q
ISL Dictionary - Academic terms,ambulance,2019-05-02T09:41:29Z,PT4S,396,7,0,rO4ySSlK4gA
ISL Dictionary - Academic terms,amount,2019-05-02T09:50:45Z,PT23S,671,26,0,L3RIj8plALw
ISL Dictionary - Academic terms,amritsar,2019-05-02T09:52:10Z,PT30S,578,16,1,QI-1Pm-FixY
ISL Dictionary - Academic terms,analysis,2019-05-02T09:52:48Z,PT32S,252,12,0,2dyFxInUJVo
ISL Dictionary - Academic terms,ancient,2019-05-02T09:59:19Z,PT28S,440,16,0,lHSsmaI9L_w
ISL Dictionary - Academic terms,animal,2019-05-02T10:22:56Z,PT4S,342,9,0,hxuHq_NLufI
ISL Dictionary - Academic terms,announce,2019-05-02T10:51:47Z,PT1M5S,1283,64,2,kFLnBo1_ZJU
ISL Dictionary - Academic terms,anonymous,2019-07-29T10:33:48Z,PT19S,921,44,0,rBHLOw4UGBU
ISL Dictionary - Academic terms,ant,2019-07-29T10:34:05Z,PT53S,319,19,0,RlkmBKq0j1o
ISL Dictionary - Academic terms,any,2019-07-29T10:59:25Z,PT30S,188,7,0,Okx2SfsNvlc
ISL Dictionary - Academic terms,apartment,2019-07-29T11:25:34Z,PT32S,235,8,0,Mnha2MwWkfI
ISL Dictionary - Academic terms,appear,2019-07-29T11:43:02Z,PT10S,527,21,0,BN21X8Rl5Rs
ISL Dictionary - Academic terms,applause,2019-07-29T11:53:38Z,PT33S,284,8,0,ZeIz6f8X3MA
ISL Dictionary - Academic terms,apple,2019-07-29T11:53:41Z,PT22S,249,14,0,tVLshUr3_es
ISL Dictionary - Academic terms,applicant,2019-07-29T11:53:45Z,PT40S,637,27,0,I7MGbyV8C20
ISL Dictionary - Academic terms,application,2019-07-30T04:30:47Z,PT21S,418,21,0,ZmzbQZJ_U4A
ISL Dictionary - Academic terms,apply,2019-07-30T05:06:19Z,PT34S,417,13,0,zr28CwSriH0
ISL Dictionary - Academic terms,appreciate,2019-07-30T05:06:29Z,PT10S,203,3,0,ocsdkY3UKvo
ISL Dictionary - Academic terms,apprise,2019-07-30T05:51:34Z,PT31S,552,31,0,ctBiBqxZQCQ
ISL Dictionary - Academic terms,approach,2019-07-30T05:51:45Z,PT31S,304,18,0,xKy2pi0P1Ww
ISL Dictionary - Academic terms,approve,2019-07-30T06:02:49Z,PT24S,499,21,1,7LwtHzCiwl0
ISL Dictionary - Academic terms,approximate,2019-07-30T08:26:27Z,PT1M2S,611,34,0,20oyHqB1Y1w
ISL Dictionary - Academic terms,april,2019-07-30T08:26:33Z,PT10S,355,8,3,9dCBLa8GC4k
ISL Dictionary - Academic terms,area,2019-07-30T08:26:42Z,PT57S,827,30,2,qC8HkKEIIVU
ISL Dictionary - Academic terms,argue,2019-07-30T09:28:31Z,PT52S,578,30,0,mXZc08e9nNU
ISL Dictionary - Academic terms,arm,2019-07-30T09:34:13Z,PT29S,685,32,0,XVJv_otB0Wg
ISL Dictionary - Academic terms,army,2019-07-30T09:38:28Z,PT23S,149,5,0,5PDoZaEq-ig
ISL Dictionary - Academic terms,around,2019-07-30T10:04:54Z,PT34S,234,17,1,1vV3Rf5QO7k
ISL Dictionary - Academic terms,arrest,2019-07-30T10:12:00Z,PT23S,380,26,0,3Ads3HC3uUY
ISL Dictionary - Academic terms,art,2019-07-30T10:21:14Z,PT20S,307,13,0,sSbGFOjI7ms
ISL Dictionary - Academic terms,artist,2019-07-30T10:49:45Z,PT27S,1176,65,1,zd5oQIr6uZk
ISL Dictionary - Academic terms,ask,2019-07-30T11:19:15Z,PT56S,958,44,0,2HMqmCZ7ypE
ISL Dictionary - Academic terms,assistant,2019-07-30T11:45:54Z,PT1M12S,923,52,1,5ohfCxQOMls
ISL Dictionary - Academic terms,associate,2019-08-13T06:53:55Z,PT36S,1354,58,1,twf7hryf2WQ
ISL Dictionary - Academic terms,associate professor,2019-08-13T06:54:06Z,PT21S,246,6,0,nXUG291PZZU
ISL Dictionary - Academic terms,at the end,2019-08-13T06:54:11Z,PT35S,445,27,0,g47igUzjQT0
ISL Dictionary - Academic terms,audiogram,2019-08-13T06:54:14Z,PT14S,470,19,0,tC4_BDM4Geg
ISL Dictionary - Academic terms,augment,2019-08-13T06:54:18Z,PT27S,333,13,0,jhgM0z-HSFI
ISL Dictionary - Academic terms,august,2019-08-13T06:54:22Z,PT49S,401,14,0,kAK_PIpuuOQ
ISL Dictionary - Academic terms,authentic,2019-08-13T08:10:58Z,PT30S,351,16,0,Onjl3UdwAMs
ISL Dictionary - Academic terms,author,2019-08-13T09:03:21Z,PT38S,459,21,0,bu1HiSWTEgg
